"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 28 23:09:39 MSK 2024","Tue May 28 23:09:44 MSK 2024","5327","","UITests","","","","testPercentOperation()",""
"passed","Tue May 28 23:09:30 MSK 2024","Tue May 28 23:09:38 MSK 2024","8006","","UITests","","","","testMultiplicationAndDivision()",""
"passed","Tue May 28 23:09:44 MSK 2024","Tue May 28 23:09:48 MSK 2024","4094","","UITests","","","","testSimpleSumPresentation()",""
